Country,Sex-disaggregated?,Date,Cases,Cases (% male),Cases (% female),Deaths,deaths (% male),deaths (% female),Deaths among confirmed cases (male),Deaths in confirmed cases (female),Deaths in confirmed cases (Male:female ratio),Sources
Australia,Yes,19.05.2020,"7,076",51,49,99,57,43,1.60%,1.20%,1.3,Source
Chile,Yes,07.05.2020,"25,952",53,47,294,60,40,1.30%,1.00%,1.3,Source
Portugal,Yes,17.05.2020,"29,209",41,59,"1,231",49,51,4.90%,3.70%,1.3,Source
Bangladesh,Yes,19.05.2020,"25,121",68,32,370,73,27,1.60%,1.20%,1.3,Source
Luxembourg,Yes,19.05.2020,"3,958",51,49,109,55,45,3.00%,2.50%,1.2,Source
Norway,Yes,18.05.2020,"8,257",50,50,233,55,45,3.10%,2.60%,1.2,Source
Colombia,Yes,18.05.2020,"16,295",56,44,592,61,39,3.90%,3.20%,1.2,Source
Canada,Yes,18.05.2020,"38,176",45,55,"2,149",47,53,5.90%,5.40%,1.1,Source
Iran,Yes,17.03.2020,"14,991",57,43,853,59,41,5.90%,5.40%,1.1,Source
Estonia,Yes,19.05.2020,"1,741",45,56,64,47,53,3.90%,3.50%,1.1,Source
Finland,Yes,19.05.2020,"6,399",49,51,265,47,53,3.90%,4.30%,0.9,Source
Pakistan,Yes,20.05.2020,"45,898",78,22,985,76,24,2.10%,2.30%,0.9,Source
Brazil,Partial,26.04.2020,,,,"3,611",59,41,,,,Source
France,Partial,18.05.2020,,,,"17,532",59,41,,,,Source
Israel,Partial,05.05.2020,,,,238,52,48,,,,Source
Japan,Partial,18.05.2020,"15,758",55,45,,,,,,,Source
Malaysia,Partial,18.05.2020,,,,113,78,22,,,,Source
Poland,Partial,19.05.2020,,,,946,51,49,,,,Source
Russia,No,,,,,,,,,,,Source
Saudi Arabia,Partial,18.05.2020,"57,345",75,25,,,,,,,Source
Turkey,No,,,,,,,,,,,Source
USA,Partial,13.05.2020,,,,"54,860",55,45,,,,Source
India,Partial,30.04.2020,,,,"1,075",64,36,,,,Source
Singapore,Partial,05.05.2020,"6,530",89,11,,,,,,,Source
Qatar,Partial,28.04.2020,"12,156",91,9,,,,,,,Source
Belarus,No,,,,,,,,,,,
Panama,Partial,18.05.2020,"9,726",58,42,,,,,,,Source
Egypt,No,,,,,,,,,,,Source
UAE,No,,,,,,,,,,,Source
Serbia,Partial,06.05.2020,,,,193,62,38,,,,Source
Hungary,Partial,20.05.2020,,,,472,51,49,,,,Source
Moldova,Partial,19.05.2020,"6,340",41,59,,,,,,,Source
Algeria,Partial,19.05.2020,"7,377",56,44,,,,,,,Source
Morocco,No,,,,,,,,,,,Source
Cameroon,No,,,,,,,,,,,Source
Oman,No,,,,,,,,,,,Source
Croatia,Partial,19.05.2020,"2,229",46,54,,,,,,,Source
Uzbekistan,No,,,,,,,,,,,Source
Armenia,Partial,19.05.2020,,,,64,59,41,,,,Source
Iceland,Partial,18.05.2020,"1,802",50,50,,,,,,,Source
Afghanistan,No,,,,,,,,,,,Source
Iraq,No,,,,,,,,,,,Source
Nigeria,Partial,18.05.2020,"6,175",69,31,,,,,,,Source
Azerbaijan,Partial,19.05.2020,"3,518",43,57,,,,,,,Source
Ghana,Partial,20.05.2020,"6,096",61,39,,,,,,,Source
Bahrain,No,,,,,,,,,,,Source
Kazakstan,Partial,20.05.2020,"5,845",60,40,,,,,,,Source
Kuwait,No,,,,,,,,,,,Source
North Macedonia,Partial,12.05.2020,"1,674",52,48,,,,,,,Source
New Zealand,Partial,19.05.2020,"1,502",44,56,,,,,,,Source
Bolivia,No,,,,,,,,,,,Source
Cuba,No,,,,,,,,,,,Source
Guinea,No,,,,,,,,,,,Source
Honduras,Partial,18.05.2020,"2,798",59,41,,,,,,,Source
Sudan,No,,,,,,,,,,,Source
Senegal,Partial,20.05.2020,736,52,48,,,,,,,Source
Ivory Coast,No,,,,,,,,,,,Source
Bulgaria,Partial,12.05.2020,"2,023",48,52,,,,,,,Source
Wales,Partial,18.05.2020,"12,570",36,64,,,,,,,Source
